                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.475,                 1.7385,                 1.2575,                0.68458,                0.47176,                0.52051,                0.25954,                 1.5566,                 1.1862,                 1.2725,             0.00041607,             0.00041607,             0.00041607
                      2,                 1.3181,                   1.14,                  1.203,                0.73656,                0.58566,                0.63078,                0.31306,                 1.5214,                0.93384,                 1.2462,             0.00079152,             0.00079152,             0.00079152
                      3,                 1.2868,                 1.0407,                 1.1921,                0.76229,                0.63391,                0.68784,                0.34614,                 1.5068,                0.86879,                 1.2288,              0.0011257,              0.0011257,              0.0011257
                      4,                 1.2451,                0.96964,                 1.1718,                0.75417,                0.66317,                0.73635,                0.37944,                 1.5227,                0.83235,                 1.2374,              0.0010644,              0.0010644,              0.0010644
                      5,                 1.2055,                0.91581,                 1.1508,                0.79893,                0.62988,                0.70563,                0.35529,                 1.5913,                0.85601,                 1.2805,              0.0010025,              0.0010025,              0.0010025
                      6,                 1.1671,                0.87694,                 1.1336,                0.82161,                0.70855,                0.76377,                0.41036,                 1.4392,                0.73682,                 1.1975,             0.00094062,             0.00094062,             0.00094062
                      7,                 1.1403,                0.84555,                 1.1222,                0.84428,                0.71539,                0.78003,                0.42727,                 1.4199,                0.74678,                 1.1982,             0.00087875,             0.00087875,             0.00087875
                      8,                 1.1259,                0.82348,                 1.1137,                0.84235,                0.70278,                0.78367,                0.42528,                 1.4004,                 0.7328,                 1.1902,             0.00081688,             0.00081688,             0.00081688
                      9,                 1.1003,                0.79166,                 1.0982,                0.85691,                0.71998,                 0.7943,                0.43379,                 1.3798,                 0.6949,                 1.1792,               0.000755,               0.000755,               0.000755
                     10,                 1.0822,                0.78036,                 1.0916,                0.84204,                0.73625,                0.78518,                0.42795,                  1.418,                0.69176,                 1.2021,             0.00069313,             0.00069313,             0.00069313
                     11,                 1.0429,                0.72822,                 1.0916,                 0.8443,                0.73428,                0.78799,                0.43023,                 1.3804,                0.68765,                 1.1803,             0.00063125,             0.00063125,             0.00063125
                     12,                 1.0231,                0.70054,                 1.0822,                0.88694,                0.73037,                0.80603,                0.44977,                 1.3678,                0.67043,                 1.1696,             0.00056938,             0.00056938,             0.00056938
                     13,                   1.01,                 0.6874,                 1.0732,                0.86454,                0.73734,                0.80323,                0.44875,                 1.3635,                0.66322,                 1.1707,              0.0005075,              0.0005075,              0.0005075
                     14,                0.98927,                0.66476,                 1.0628,                0.86732,                0.75779,                0.81386,                0.45027,                 1.3532,                0.64489,                  1.165,             0.00044563,             0.00044563,             0.00044563
                     15,                0.97837,                0.65151,                  1.058,                0.87977,                0.75282,                0.80749,                0.44983,                 1.3768,                0.64894,                 1.1772,             0.00038375,             0.00038375,             0.00038375
                     16,                0.96132,                0.63516,                 1.0475,                0.88134,                0.75181,                0.81008,                0.46067,                 1.3244,                0.62998,                 1.1507,             0.00032188,             0.00032188,             0.00032188
                     17,                0.94694,                0.62295,                 1.0377,                0.88988,                0.76613,                0.82053,                0.47362,                 1.3154,                0.62394,                 1.1484,                0.00026,                0.00026,                0.00026
                     18,                0.93325,                0.60667,                 1.0333,                 0.8939,                0.75804,                0.81323,                0.46561,                   1.32,                 0.6196,                 1.1464,             0.00019813,             0.00019813,             0.00019813
                     19,                0.92066,                0.59388,                 1.0273,                0.88908,                0.77484,                0.82319,                0.47371,                 1.3205,                0.60507,                 1.1479,             0.00013625,             0.00013625,             0.00013625
                     20,                0.90515,                0.57927,                 1.0189,                 0.9041,                 0.7736,                0.82716,                 0.4741,                 1.3168,                0.60643,                 1.1456,             7.4375e-05,             7.4375e-05,             7.4375e-05
